Script__SigEquipHitDetectScript log opened (PC)
305581:QUEUE_POP:7386:0:Active effect 2 on  (FF000CDB):_SigEquipHitDetectScript..OnHit
305581:POP:7386:0:Active effect 2 on  (FF000CDB):_SigEquipHitDetectScript..OnHit
305581:PUSH:7388:0:Active effect 2 on  (FF000CDB):_SigEquipHitDetectScript..OnHit
305632:QUEUE_POP:7388:0:Active effect 2 on  (FF000CDB):_SigEquipHitDetectScript..OnHit
305632:POP:7388:0:Active effect 2 on  (FF000CDB):_SigEquipHitDetectScript..OnHit
305929:QUEUE_PUSH:7390:0:Active effect 2 on  (FF000CDB):_SigEquipHitDetectScript.??.OnDying
305931:PUSH:7390:0:None:_SigEquipHitDetectScript..OnDying
305957:QUEUE_POP:7390:0:None:_SigEquipHitDetectScript..OnDying
305974:POP:7390:0:None:_SigEquipHitDetectScript..OnDying
306077:QUEUE_PUSH:7391:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnUpdate
306077:PUSH:7391:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnUpdate
306128:QUEUE_PUSH:7391:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdateGameTime
306145:QUEUE_POP:7391:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnUpdate
306163:POP:7391:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnUpdate
306320:QUEUE_PUSH:7396:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript.??.OnHit
306336:PUSH:7396:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
306353:QUEUE_POP:7396:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
306369:POP:7396:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
307296:QUEUE_PUSH:7410:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnHit
307298:PUSH:7410:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
307313:QUEUE_PUSH:7410:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdate
307329:QUEUE_POP:7410:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
307347:POP:7410:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
307913:QUEUE_PUSH:7416:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnHit
307927:PUSH:7416:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
307944:QUEUE_PUSH:7416:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdate
307961:QUEUE_POP:7416:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
307961:POP:7416:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
308630:QUEUE_PUSH:7426:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript.??.OnHit
308653:PUSH:7426:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
308695:QUEUE_POP:7426:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
308712:POP:7426:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
309222:QUEUE_PUSH:7429:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnUpdate
309222:PUSH:7429:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnUpdate
309276:QUEUE_PUSH:7429:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdateGameTime
309292:QUEUE_POP:7429:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnUpdate
309309:POP:7429:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnUpdate
309347:QUEUE_PUSH:7432:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnHit
309370:PUSH:7432:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
309377:QUEUE_PUSH:7432:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdate
309378:QUEUE_POP:7432:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
309394:POP:7432:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
309808:QUEUE_PUSH:7439:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnHit
309822:PUSH:7439:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
309839:QUEUE_PUSH:7439:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdate
309856:QUEUE_POP:7439:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
309856:POP:7439:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
310476:QUEUE_PUSH:7442:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript.??.OnHit
310498:PUSH:7442:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
310535:QUEUE_POP:7442:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
310539:POP:7442:0:Active effect 2 on  (FF000CDC):_SigEquipHitDetectScript..OnHit
310783:QUEUE_PUSH:7446:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.OnHit
310797:PUSH:7446:0:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript..OnHit
310814:QUEUE_PUSH:7446:1:Active effect 2 on  (000B79BA):_SigEquipHitDetectScript.??.RegisterForSingleUpdate
